
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

      210   -39.0000000000        22.2857142900        0.00000000000    
      211   -39.0000000000        19.5000000000        0.00000000000    
      212   -39.0000000000        16.7142857100        0.00000000000    
      213   -39.0000000000        13.9285714300        0.00000000000    
      214   -39.0000000000        11.1428571400        0.00000000000    
      215   -39.0000000000        8.35714285700        0.00000000000    
      216   -39.0000000000        5.57142857100        0.00000000000    
      217   -39.0000000000        2.78571428600        0.00000000000    
      218   -15.8888888900        0.00000000000        0.00000000000    
      219   -18.7777777800        0.00000000000        0.00000000000    
      220   -21.6666666700        0.00000000000        0.00000000000    

   NODE        X                   Y                   Z
      221   -24.5555555600        0.00000000000        0.00000000000    
      222   -27.4444444400        0.00000000000        0.00000000000    
      223   -30.3333333300        0.00000000000        0.00000000000    
      224   -33.2222222200        0.00000000000        0.00000000000    
      225   -36.1111111100        0.00000000000        0.00000000000    
      226   -9.19238815500       -9.19238815500        0.00000000000    
      227   -12.7494048500       -2.54021178600        0.00000000000    
      228   -12.0072806300       -4.98249053500        0.00000000000    
      229   -10.8022385200       -7.23267882900        0.00000000000    
      230   -39.0000000000       -39.0000000000        0.00000000000    
      231   -39.0000000000       -2.78571428600        0.00000000000    
      232   -39.0000000000       -5.57142857100        0.00000000000    
      233   -39.0000000000       -8.35714285700        0.00000000000    
      234   -39.0000000000       -11.1428571400        0.00000000000    
      235   -39.0000000000       -13.9285714300        0.00000000000    
      236   -39.0000000000       -16.7142857100        0.00000000000    
      237   -39.0000000000       -19.5000000000        0.00000000000    
      238   -39.0000000000       -22.2857142900        0.00000000000    
      239   -39.0000000000       -25.0714285700        0.00000000000    
      240   -39.0000000000       -27.8571428600        0.00000000000    

   NODE        X                   Y                   Z
      241   -39.0000000000       -30.6428571400        0.00000000000    
      242   -39.0000000000       -33.4285714300        0.00000000000    
      243   -39.0000000000       -36.2142857100        0.00000000000    
      244   -11.1795622800       -11.1795622800        0.00000000000    
      245   -13.1667364000       -13.1667364000        0.00000000000    
      246   -15.1539105200       -15.1539105200        0.00000000000    
      247   -17.1410846500       -17.1410846500        0.00000000000    
      248   -19.1282587700       -19.1282587700        0.00000000000    
      249   -21.1154328900       -21.1154328900        0.00000000000    
      250   -23.1026070200       -23.1026070200        0.00000000000    
      251   -25.0897811400       -25.0897811400        0.00000000000    
      252   -27.0769552600       -27.0769552600        0.00000000000    
      253   -29.0641293900       -29.0641293900        0.00000000000    
      254   -31.0513035100       -31.0513035100        0.00000000000    
